Timestamp,qw,qx,qy,qz,yaw,pitch,roll,label
24504,0.131335,-0.6711,0.105925,0.721905,323.759003,85.390114,-16.903883,2
24624,0.120083,-0.686382,0.108473,0.709003,323.519775,87.92585,-17.863554,2
24744,0.111039,-0.687577,0.104549,0.709908,335.021027,88.101532,-7.431659,2
24864,0.109615,-0.688351,0.099373,0.710123,326.297455,88.036758,-16.692225,2
24984,0.108403,-0.68816,0.098587,0.710603,327.951263,88.001884,-15.202991,2
25104,0.111184,-0.683398,0.095635,0.715158,325.497833,87.125061,-17.670078,2
25247,0.097325,-0.703159,0.093948,0.698041,205.62265,89.450348,-138.770355,2
25371,0.103497,-0.690599,0.091372,0.709933,319.975769,88.136177,-24.166286,2
25491,0.105358,-0.690974,0.10249,0.707773,341.855927,88.599602,-1.233419,2
25611,0.104333,-0.692711,0.10212,0.706279,342.333008,88.862885,-0.870184,2
25731,0.101556,-0.694306,0.097835,0.705724,333.833374,89.000443,-9.939174,2
25851,0.098061,-0.695865,0.091694,0.705507,318.830383,89.035515,-25.715704,2
25971,0.083463,-0.697112,0.066479,0.708972,298.824005,88.305801,-48.976509,2
26093,0.050901,-0.690714,0.017581,0.721114,309.593872,86.337395,-44.841393,2
26213,0.006308,-0.669411,-0.06977,0.739576,315.261444,81.603348,-49.891605,2
26333,-0.059244,-0.633694,-0.184807,0.748839,322.531708,76.160004,-57.487469,2
26453,-0.12062,-0.593591,-0.279823,0.744843,330.188751,72.132614,-63.122211,2
26573,-0.171513,-0.551624,-0.363066,0.731074,335.755646,68.606483,-69.491615,2
26693,-0.203965,-0.525036,-0.421085,0.710926,337.39502,66.678154,-76.256538,2
26818,-0.214395,-0.521536,-0.442135,0.697526,336.000061,66.513466,-80.607925,2
26938,-0.206801,-0.53155,-0.429054,0.700423,334.527527,67.231682,-80.069778,2
27058,-0.160196,-0.567534,-0.360477,0.722697,329.74173,69.358391,-74.209366,2
27178,-0.074305,-0.61458,-0.238718,0.748181,322.032501,72.767639,-63.837696,2
27298,-0.014819,-0.636988,-0.134353,0.758925,321.66861,76.12822,-50.527893,2
27418,0.051585,-0.655349,-0.013295,0.75344,324.959564,80.456779,-31.92355,2
27538,0.108574,-0.661085,0.088176,0.737153,336.977539,83.611038,-7.001031,2
27658,0.154276,-0.660464,0.163687,0.716369,356.551544,85.399254,22.557169,2
27778,0.200976,-0.656185,0.234983,0.688335,28.645985,86.200119,64.566475,2
27898,0.258102,-0.63971,0.307808,0.655286,49.000767,85.771812,96.199921,2
28018,0.346291,-0.608524,0.422396,0.575634,80.386711,83.274162,146.359024,2
28138,0.408874,-0.5732,0.515472,0.48841,87.45562,78.943611,169.544983,2
28258,0.428887,-0.55537,0.550719,0.452018,86.111534,77.024696,174.507111,2
28378,0.432801,-0.552991,0.558199,0.441916,86.648651,76.392212,176.421036,2
28500,0.423079,-0.561241,0.55396,0.446243,87.184898,75.844772,175.424835,2
28620,0.388826,-0.587282,0.521347,0.481771,88.117828,76.239212,168.936371,2
28740,0.304618,-0.633425,0.409209,0.581825,85.832535,80.536209,146.687195,2
28860,0.239738,-0.65465,0.318484,0.642276,75.646431,83.533348,122.214706,2
28980,0.183546,-0.666519,0.23853,0.682025,56.876427,85.363884,91.624481,2
29100,0.133806,-0.668902,0.165246,0.712286,23.716089,85.651436,48.142979,2
29220,0.078723,-0.667634,0.086424,0.735249,359.783356,84.478874,13.210142,2
29342,0.025268,-0.655467,0.007885,0.754755,348.722382,81.822334,-8.583083,2
29462,-0.012741,-0.642518,-0.052146,0.764383,344.721405,79.605263,-20.558357,2
29582,-0.054416,-0.628212,-0.118314,0.767061,342.344574,77.588715,-31.767832,2
29702,-0.090453,-0.612668,-0.173648,0.765698,342.315369,75.848434,-39.376118,2
29822,-0.135654,-0.594799,-0.239451,0.755293,342.634644,74.463364,-48.418011,2
29942,-0.166886,-0.588907,-0.280879,0.739214,341.453857,74.666954,-55.806301,2
30062,-0.188878,-0.575394,-0.319925,0.72862,340.775482,73.605347,-61.852165,2
197,0.999897,0.004004,-0.013377,0.001443,180.159271,-1.533548,0.456687,3
317,0.999628,0.008996,-0.025576,-0.000261,179.94368,-2.930712,1.032693,3
438,0.999067,0.014016,-0.040726,-0.000779,179.844849,-4.666452,1.613873,3
558,0.998318,0.018986,-0.054629,-0.002857,179.55162,-6.255685,2.203485,3
678,0.99743,0.02566,-0.066497,-0.0067,179.030106,-7.602993,3.0118,3
798,0.996455,0.030089,-0.077399,-0.013177,178.206924,-8.82726,3.597567,3
918,0.995848,0.032253,-0.081957,-0.022826,177.052216,-9.309121,3.950107,3
1040,0.995523,0.031579,-0.082662,-0.033089,175.867615,-9.351649,3.971899,3
1160,0.995074,0.032164,-0.082913,-0.043707,174.631729,-9.334496,4.141247,3
1280,0.994369,0.034552,-0.084824,-0.053225,173.496414,-9.498125,4.521023,3
1400,0.993791,0.033587,-0.085486,-0.062731,172.400177,-9.537702,4.506227,3
1520,0.993173,0.031028,-0.084864,-0.073712,171.1548,-9.438876,4.310526,3
1640,0.992502,0.030287,-0.084551,-0.082857,170.102417,-9.370302,4.308878,3
1760,0.991797,0.028186,-0.084884,-0.091268,169.143463,-9.39443,4.150354,3
1883,0.990842,0.02794,-0.08445,-0.101546,167.954041,-9.304365,4.214285,3
2004,0.989714,0.026874,-0.08461,-0.112145,166.729935,-9.291193,4.193827,3
2125,0.988451,0.027596,-0.085182,-0.122225,165.545441,-9.302704,4.380676,3
2245,0.987297,0.029382,-0.088378,-0.128692,164.751892,-9.610371,4.69863,3
2365,0.986309,0.023602,-0.089586,-0.136393,163.899094,-9.804083,4.131646,3
2485,0.984457,0.02961,-0.088464,-0.148774,162.402725,-9.51854,4.922207,3
2606,0.978308,0.086993,-0.09697,-0.161037,160.343079,-9.306439,11.778612,3
2729,0.970463,0.132653,-0.107506,-0.170407,158.643616,-9.407287,17.344646,3
2850,0.973666,0.072469,-0.11173,-0.185014,157.44812,-10.997187,10.712276,3
2971,0.975976,-0.017669,-0.105034,-0.190049,157.92778,-12.22418,0.318632,3
3092,0.962388,-0.171545,-0.078941,-0.195299,159.053421,-12.647283,-17.866245,3
3213,0.956638,-0.199891,-0.071272,-0.199496,158.79245,-12.481136,-21.258631,3
3334,0.975889,0.060979,-0.088002,-0.19018,157.281174,-8.543884,8.87051,3
