Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,label
32420,0.18,-0.17,9.92,0.02,-0.05,-0.0,11.14,-23.52,-48.98,1
32560,0.16,-0.14,9.91,0.02,-0.05,-0.0,11.66,-23.49,-49.87,1
32700,0.23,-0.14,9.88,0.03,-0.04,0.0,11.96,-23.72,-49.77,1
2664,-9.69,1.72,-0.55,0.03,-0.06,-0.01,45.64,-22.84,22.73,2
2800,-9.69,1.64,-0.47,0.02,-0.04,0.05,46.45,-22.71,22.99,2
2937,-9.57,1.67,-0.58,-0.01,-0.01,0.05,45.53,-22.89,22.46,2
3074,-9.62,1.47,-0.37,-0.06,-0.04,-0.07,46.1,-23.0,21.59,2
3210,-9.69,1.91,-0.12,0.03,-0.04,-0.06,45.92,-23.28,22.17,2
3347,-9.69,1.67,-0.4,0.06,-0.07,0.03,46.45,-23.36,21.53,2
3484,-9.56,1.84,-0.53,0.05,-0.01,-0.02,46.1,-23.11,22.01,2
3621,-9.75,1.72,-0.2,0.04,-0.04,-0.02,46.42,-23.5,22.07,2
3764,-9.72,1.52,-0.34,-0.02,-0.08,0.02,45.64,-23.03,22.6,2
3901,-9.55,1.64,-0.64,-0.02,-0.06,-0.02,45.75,-23.38,22.99,2
4038,-9.82,1.39,-0.26,0.05,0.0,0.01,45.69,-23.9,21.89,2
4174,-9.63,1.86,-0.28,0.04,-0.04,0.04,45.82,-23.75,22.41,2
4311,-9.62,1.64,-0.3,-0.0,-0.06,0.0,45.66,-23.59,22.27,2
4448,-9.66,1.46,-0.58,0.03,-0.06,0.03,46.04,-23.62,21.94,2
4583,-9.76,1.49,-0.54,0.03,-0.03,-0.03,45.75,-23.97,21.16,2
4719,-9.63,1.88,-0.4,-0.01,-0.05,-0.03,46.17,-23.19,21.44,2
4855,-9.61,1.76,-0.18,0.02,-0.05,0.01,45.29,-23.79,21.48,2
4997,-9.65,1.65,-0.35,0.02,-0.05,0.04,45.67,-24.03,21.65,2
