Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
27196,-9.34,2.87,0.96,0.02,-0.03,0.01,17.00,-11.40,20.15
27339,-9.39,2.89,0.84,-0.00,-0.04,-0.01,17.00,-11.40,20.15
27489,-9.41,2.75,0.81,-0.00,-0.04,0.01,17.00,-11.40,20.15
27633,-9.42,2.71,0.74,-0.00,-0.05,-0.00,17.00,-11.40,20.15
27777,-9.39,2.83,0.85,0.02,-0.04,-0.01,17.00,-11.40,20.15
27920,-9.32,2.89,0.85,0.02,-0.04,0.00,17.00,-11.40,20.15
28064,-9.31,2.75,0.87,0.02,-0.04,0.00,17.00,-11.40,20.15
28208,-9.38,2.76,0.80,-0.01,-0.04,0.02,17.00,-11.40,20.15
28351,-9.35,2.68,0.94,0.06,-0.06,0.02,17.00,-11.40,20.15
28495,-9.36,2.91,0.76,0.01,-0.02,0.00,17.00,-11.40,20.15
28638,-9.41,2.66,0.70,0.00,-0.03,0.00,17.00,-11.40,20.15
28778,-9.31,3.10,0.84,0.01,-0.03,0.01,17.00,-11.40,20.15
28921,-9.40,2.71,0.68,0.02,-0.06,0.00,17.00,-11.40,20.15
29065,-9.25,3.03,0.90,0.01,-0.01,-0.01,17.00,-11.40,20.15
29208,-9.36,2.75,0.92,0.04,-0.06,0.01,17.00,-11.40,20.15
29352,-9.32,2.91,0.70,-0.00,-0.04,0.02,17.00,-11.40,20.15
29496,-9.37,2.98,0.58,0.03,-0.06,-0.01,17.00,-11.40,20.15
29639,-9.31,2.94,0.92,-0.00,-0.04,-0.01,17.00,-11.40,20.15
29783,-9.35,2.80,0.88,0.01,-0.03,-0.02,17.00,-11.40,20.15
29932,-9.35,2.89,0.71,0.01,-0.04,-0.01,17.00,-11.40,20.15
30076,-9.43,2.72,0.76,0.03,-0.05,0.02,17.00,-11.40,20.15
30219,-9.27,2.96,0.77,0.02,-0.03,-0.00,17.00,-11.40,20.15
30363,-9.39,2.91,0.84,-0.04,-0.04,-0.01,17.00,-11.40,20.15
30506,-9.33,2.83,0.88,0.05,-0.04,-0.02,17.00,-11.40,20.15
30650,-9.38,2.94,0.72,0.00,-0.03,-0.00,17.00,-11.40,20.15
30793,-9.40,2.80,0.60,0.02,-0.03,0.00,17.00,-11.40,20.15
30937,-9.40,2.82,0.65,0.03,-0.06,0.02,17.00,-11.40,20.15
31081,-9.42,2.92,0.55,0.01,-0.02,-0.02,17.00,-11.40,20.15
31230,-9.42,2.72,0.67,-0.03,-0.03,0.02,17.00,-11.40,20.15
31374,-9.32,2.97,0.67,0.00,-0.07,-0.01,17.00,-11.40,20.15
31517,-9.33,2.86,0.72,0.01,-0.04,-0.02,17.00,-11.40,20.15
31661,-9.33,2.97,0.75,0.01,-0.04,-0.04,17.00,-11.40,20.15
31804,-9.37,2.78,0.72,0.00,-0.05,0.02,17.00,-11.40,20.15
31948,-9.33,2.83,0.56,0.02,-0.05,-0.01,17.00,-11.40,20.15
32091,-9.36,2.96,0.73,-0.02,-0.06,0.00,17.00,-11.40,20.15
32235,-9.34,2.89,0.56,0.03,-0.05,0.02,17.00,-11.40,20.15
32378,-9.32,2.90,0.75,-0.01,-0.05,-0.00,17.00,-11.40,20.15
32528,-9.29,2.99,0.63,0.01,-0.04,0.05,17.00,-11.40,20.15
32671,-9.31,2.92,0.61,0.03,-0.03,0.04,17.00,-11.40,20.15
32816,-9.27,3.01,0.74,0.03,-0.05,-0.03,17.00,-11.40,20.15
32959,-9.27,3.10,0.74,0.03,-0.02,-0.01,17.00,-11.40,20.15
33103,-9.30,3.14,0.62,-0.00,-0.04,0.00,17.00,-11.40,20.15
33247,-9.34,3.03,0.74,0.04,-0.05,-0.01,17.00,-11.40,20.15
33390,-9.51,2.64,2.19,0.11,-0.22,0.02,17.00,-11.40,20.15
33534,-10.69,2.68,7.12,0.46,-1.65,-0.00,17.00,-11.40,20.15
33683,-10.87,3.34,5.98,-0.53,-2.43,-0.02,17.00,-11.40,20.15
33827,-8.21,3.48,5.21,-0.39,-1.82,0.00,17.00,-11.40,20.15
33970,-5.81,1.93,6.08,-0.44,-1.54,0.03,17.00,-11.40,20.15
34114,-3.42,0.64,9.05,-0.80,-1.82,-0.02,17.00,-11.40,20.15
34257,-0.75,0.99,8.80,-0.07,-1.56,0.01,17.00,-11.40,20.15
34401,0.63,-0.27,7.81,0.13,-0.59,-0.04,17.00,-11.40,20.15
34544,1.68,1.57,8.21,-0.12,-0.19,-0.08,17.00,-11.40,20.15
34688,1.71,0.02,9.88,-0.16,-0.01,-0.05,17.00,-11.40,20.15
34832,1.47,0.08,9.42,-0.23,-0.01,-0.11,17.00,-11.40,20.15
34981,1.37,0.15,10.34,-0.00,0.36,-0.28,17.00,-11.40,20.15
35125,0.99,0.38,9.96,-0.27,0.25,-0.23,17.00,-11.40,20.15
35270,0.80,-0.07,10.53,-0.02,0.08,-0.14,17.00,-11.40,20.15
35414,0.43,-0.22,10.08,-0.28,0.15,-0.08,17.00,-11.40,20.15
35557,0.13,-0.10,9.70,0.06,0.18,-0.07,17.00,-11.40,20.15
35702,-0.24,-0.63,9.37,-0.04,0.12,-0.00,17.00,-11.40,20.15
35845,-0.14,-0.18,9.98,-0.23,-0.02,0.01,17.00,-11.40,20.15
35989,-0.41,-0.69,9.54,0.05,-0.06,-0.00,17.00,-11.40,20.15
36132,-0.37,-0.66,10.03,0.10,0.01,-0.05,17.00,-11.40,20.15
36282,-0.44,-0.32,9.54,0.09,0.01,-0.07,17.00,-11.40,20.15
36425,-0.50,-0.47,10.02,0.09,0.00,0.02,17.00,-11.40,20.15
36569,-0.49,-0.11,10.03,0.02,-0.03,-0.01,17.00,-11.40,20.15
36712,-0.51,-0.00,9.61,0.00,-0.03,0.02,17.00,-11.40,20.15
36856,-0.63,-0.32,9.78,0.07,-0.06,0.01,17.00,-11.40,20.15
37000,-0.56,-0.28,10.03,0.02,-0.07,0.01,17.00,-11.40,20.15
37143,-0.63,-0.14,9.65,-0.01,-0.06,-0.01,17.00,-11.40,20.15
37287,-0.47,-0.04,10.20,0.02,-0.04,-0.00,17.00,-11.40,20.15
37436,-0.51,-0.03,9.91,0.02,-0.02,-0.00,17.00,-11.40,20.15
37580,-0.60,-0.28,10.16,-0.01,-0.05,0.03,17.00,-11.40,20.15
37723,-0.52,-0.26,9.77,-0.02,-0.11,0.04,17.00,-11.40,20.15
37867,-0.38,-0.17,9.86,0.05,-0.10,0.06,17.00,-11.40,20.15
38010,-0.45,-0.16,9.92,-0.02,-0.04,0.02,17.00,-11.40,20.15
38154,-0.42,-0.10,9.92,0.01,-0.09,0.01,17.00,-11.40,20.15
