timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,Unnamed: 10
16.27,-0.03669724770642201,-0.18144750254842,0.9785932721712537,0.02,0.12,-0.38,34.42,-15.74,-47.09,
16.43,-0.021406727828746176,-0.12945973496432212,0.9561671763506626,-0.38,0.3,-0.22,35.68,-14.6,-47.03,
16.6,-0.0856269113149847,-0.23343527013251783,0.9429153924566768,-0.18,0.35,-0.01,38.44,-12.34,-45.86,
16.76,-0.1661569826707441,-0.3292558613659531,0.8460754332313966,-0.48,-0.08,-0.01,37.84,-9.88,-44.87,
16.92,-0.22018348623853212,-0.34964322120285424,0.9194699286442405,0.16,-0.24,-0.22,39.42,-6.77,-44.04,
17.08,-0.20183486238532108,-0.3425076452599388,0.9694189602446482,-0.28,-0.09,-0.17,38.82,-4.98,-43.67,
17.26,-0.0050968399592252805,-0.2782874617737003,1.018348623853211,0.81,-1.38,-0.25,36.28,-9.84,-46.05,
17.42,0.004077471967380224,-0.30173292558613657,0.9225280326197758,-0.03,-0.25,-0.13,33.27,-8.64,-46.19,
17.58,0.06320081549439348,-0.19775739041794085,0.9337410805300713,0.67,-0.62,-0.64,31.77,-10.25,-46.39,
17.74,0.14271151885830782,-0.127420998980632,1.0254841997961264,0.14,-0.01,-0.03,29.63,-12.6,-46.64,
17.91,0.08460754332313965,-0.034658511722731905,1.0132517838939856,0.31,-0.44,-0.78,29.04,-16.72,-46.35,
18.07,0.07849133537206932,-0.0856269113149847,1.0642201834862384,-0.43,-0.03,-0.2,29.13,-15.51,-44.81,
18.23,0.1875637104994903,-0.05606523955147809,1.0754332313965342,0.87,0.55,1.47,29.1,-13.39,-43.36,
18.4,0.029561671763506624,0.18348623853211007,1.016309887869521,-0.11,-0.04,0.56,34.3,-19.73,-41.89,
18.56,0.016309887869520895,-0.0509683995922528,1.0254841997961264,-0.34,0.04,0.31,34.11,-18.42,-40.87,
18.73,0.026503567787971458,-0.08664627930682976,0.9724770642201833,0.39,0.03,0.77,35.57,-18.17,-40.78,
18.89,-0.010193679918450561,-0.08868501529051988,1.0071355759429155,0.25,-0.08,0.29,35.66,-19.12,-39.42,
19.05,0.011213047910295617,-0.11213047910295618,1.0632008154943935,-0.43,0.23,0.07,36.69,-19.42,-39.29,
19.21,-0.009174311926605503,-0.13863404689092762,0.9969418960244647,0.1,0.21,0.41,37.3,-20.9,-37.46,
19.38,-0.07135575942915391,-0.07237512742099897,1.0265035677879715,0.15,0.03,-0.02,38.61,-21.13,-36.32,
19.55,-0.029561671763506624,-0.05198776758409786,0.9979612640163098,0.4,-0.06,-0.16,38.06,-23.72,-34.77,
19.71,-0.08970438328236494,0.003058103975535168,1.0346585117227318,-0.23,0.11,0.21,39.18,-23.18,-35.12,
19.87,-0.12028542303771661,-0.061162079510703356,1.0265035677879715,-0.04,0.04,0.05,39.48,-22.54,-33.41,
20.03,-0.10499490316004077,-0.12334352701325177,1.017329255861366,0.15,0.07,0.25,40.59,-22.51,-33.56,
20.2,-0.13251783893985727,0.002038735983690112,0.9969418960244647,0.06,-0.21,-0.24,39.99,-24.33,-31.89,
20.36,-0.04281345565749235,-0.11111111111111112,1.056065239551478,-0.13,0.04,-0.39,39.96,-24.0,-32.01,
20.52,-0.0764525993883792,-0.04791029561671763,1.037716615698267,0.2,-0.01,0.13,40.24,-24.99,-30.42,
