x,y,z
-0.1739256015719472,-0.9783315088422031,0.11232695101521609
-0.39994337140276304,-0.9154953736016371,0.043743806247177386
-0.41488434496485954,-0.8982447468656667,0.14500812057024193
-0.6085275879907883,-0.7837097724123789,0.12447155208902469
-0.6940934414759726,-0.7198006059750828,0.011017356213904093
-0.5143627106932771,-0.825811691480032,-0.23122727361440903
-0.5895957127109177,-0.8055862213277885,0.05837581313969461
-0.6347643395487956,-0.7703977454352904,-0.0596786985900574
-0.5736845161328942,-0.8163971960352725,-0.06619436724610275
-0.8177260599872296,-0.5739807921064208,0.04324512817240135
-0.7210461649486822,-0.6914647838225825,0.04437207168915004
-0.5261895739457526,-0.8365065021701708,0.1529097907192785
-0.6324179116230882,-0.7558165285251542,-0.16967309824034124
-0.8281269599049916,-0.5560281016504944,-0.07098231084899882
-0.85,0.22999999999999998,0.0600000000000005
-0.4,-0.06000000000000005,0.22000000000000064
-0.7477057743366302,-0.5574999194615226,0.36073524200451507
-0.7342436750887894,-0.5810102124615639,0.35116001852072587
-0.8137157025442155,-0.43444143440919986,0.3861701639192891
-0.23,-0.51,-0.08000000000000007
-0.06999999999999999,-0.16000000000000003,-0.5700000000000003
-0.29000000000000004,-0.6000000000000001,-0.22000000000000064
-0.9771737737473588,0.0323032652478466,-0.20997122411100255
-0.15000000000000002,-0.08999999999999997,-0.35999999999999943
-0.06523280730534423,-0.7436540032809242,-0.6653746345145108
-0.25,-0.81,-0.15000000000000036
-0.46,-0.44000000000000006,0.17999999999999972
-0.48364039963254174,-0.7647305464275234,-0.42576889882181
-0.4546169337199718,-0.8905509797528216,0.015569073072601997
-0.2495586665254317,-0.8344617911944123,-0.4913186247219429
-0.38417586094816986,-0.9210369999654842,0.0640293101580287
